date,days_to_diwali,is_near_diwali,day_of_week,day_of_month,month,quarter,day_of_year,week_of_year,is_month_start,is_month_end
2026-09-02,67,0,2,2,9,3,245,36,0,0
2026-09-03,66,0,3,3,9,3,246,36,0,0
2026-09-04,65,0,4,4,9,3,247,36,0,0
2026-09-07,62,0,0,7,9,3,250,37,0,0
2026-09-08,61,0,1,8,9,3,251,37,0,0
2026-09-09,60,0,2,9,9,3,252,37,0,0
2026-09-10,59,0,3,10,9,3,253,37,0,0
2026-09-11,58,0,4,11,9,3,254,37,0,0
2026-09-14,55,0,0,14,9,3,257,38,0,0
2026-09-15,54,0,1,15,9,3,258,38,0,0
2026-09-16,53,0,2,16,9,3,259,38,0,0
2026-09-17,52,0,3,17,9,3,260,38,0,0
2026-09-18,51,0,4,18,9,3,261,38,0,0
2026-09-21,48,0,0,21,9,3,264,39,0,0
2026-09-22,47,0,1,22,9,3,265,39,0,0
2026-09-23,46,0,2,23,9,3,266,39,0,0
2026-09-24,45,0,3,24,9,3,267,39,0,0
2026-09-25,44,0,4,25,9,3,268,39,0,0
2026-09-28,41,0,0,28,9,3,271,40,0,0
2026-09-29,40,0,1,29,9,3,272,40,0,0
2026-09-30,39,0,2,30,9,3,273,40,0,1
2026-10-01,38,0,3,1,10,4,274,40,1,0
2026-10-02,37,0,4,2,10,4,275,40,0,0
2026-10-05,34,0,0,5,10,4,278,41,0,0
2026-10-06,33,0,1,6,10,4,279,41,0,0
2026-10-07,32,0,2,7,10,4,280,41,0,0
2026-10-08,31,0,3,8,10,4,281,41,0,0
2026-10-09,30,1,4,9,10,4,282,41,0,0
2026-10-12,27,1,0,12,10,4,285,42,0,0
2026-10-13,26,1,1,13,10,4,286,42,0,0
2026-10-14,25,1,2,14,10,4,287,42,0,0
2026-10-15,24,1,3,15,10,4,288,42,0,0
2026-10-16,23,1,4,16,10,4,289,42,0,0
2026-10-19,20,1,0,19,10,4,292,43,0,0
2026-10-20,19,1,1,20,10,4,293,43,0,0
2026-10-21,18,1,2,21,10,4,294,43,0,0
2026-10-22,17,1,3,22,10,4,295,43,0,0
2026-10-23,16,1,4,23,10,4,296,43,0,0
2026-10-26,13,1,0,26,10,4,299,44,0,0
2026-10-27,12,1,1,27,10,4,300,44,0,0
2026-10-28,11,1,2,28,10,4,301,44,0,0
2026-10-29,10,1,3,29,10,4,302,44,0,0
2026-10-30,9,1,4,30,10,4,303,44,0,0
2026-11-02,6,1,0,2,11,4,306,45,0,0
2026-11-03,5,1,1,3,11,4,307,45,0,0
2026-11-04,4,1,2,4,11,4,308,45,0,0
2026-11-05,3,1,3,5,11,4,309,45,0,0
2026-11-06,2,1,4,6,11,4,310,45,0,0
