date,gold_999_am,gold_999_pm,gold_999_average,source
2025-09-02,104662,104424,104543.0,IBJA
2025-09-03,105638,106021,105829.5,IBJA
2025-09-04,105751,105945,105848.0,IBJA
2025-09-05,106446,106338,106392.0,IBJA
2025-09-08,107312,108037,107674.5,IBJA
2025-09-09,109143,109475,109309.0,IBJA
2025-09-10,109409,109635,109522.0,IBJA
2025-09-11,109223,109097,109160.0,IBJA
2025-09-12,109841,109707,109774.0,IBJA
2025-09-15,109603,109511,109557.0,IBJA
2025-09-16,110540,110869,110704.5,IBJA
2025-09-17,109971,109733,109852.0,IBJA
2025-09-18,109264,110167,109715.5,IBJA
2025-09-19,109873,109775,109824.0,IBJA
2025-09-22,111167,112155,111661.0,IBJA
2025-09-23,113498,114314,113906.0,IBJA
2025-09-24,114044,113584,113814.0,IBJA
2025-09-25,113232,113349,113290.5,IBJA
2025-09-26,113299,113262,113280.5,IBJA
2025-09-29,115292,115454,115373.0,IBJA
2025-09-30,116903,116435,116669.0,IBJA
2025-10-01,116586,117332,116959.0,IBJA
2025-10-03,116833,116954,116893.5,IBJA
2025-10-06,119059,119249,119154.0,IBJA
2025-10-07,119967,119941,119954.0,IBJA
2025-10-08,121799,122098,121948.5,IBJA
2025-10-09,122570,122629,122599.5,IBJA
2025-10-10,120845,121525,121185.0,IBJA
2025-10-13,123769,124155,123962.0,IBJA
2025-10-14,125682,126152,125917.0,IBJA
2025-10-15,126792,126284,126538.0,IBJA
2025-10-16,127247,127471,127359.0,IBJA
2025-10-17,130874,129584,130229.0,IBJA
2025-10-20,126730,127633,127181.5,IBJA
2025-10-22,123907,123411,123659.0,IBJA
2025-10-23,123827,123354,123590.5,IBJA
2025-10-24,122419,121518,121968.5,IBJA
2025-10-27,122402,121077,121739.5,IBJA
2025-10-28,119164,118043,118603.5,IBJA
2025-10-29,119352,120628,119990.0,IBJA
2025-10-30,119253,119619,119436.0,IBJA
2025-10-31,120815,120770,120792.5,IBJA
2025-11-03,121113,120777,120945.0,IBJA
2025-11-04,119916,119436,119676.0,IBJA
2025-11-06,120100,120670,120385.0,IBJA
2025-11-07,120231,120100,120165.5,IBJA
2025-11-10,122087,122441,122264.0,IBJA
2025-11-11,124147,124149,124148.0,IBJA
2025-11-12,123362,123913,123637.5,IBJA
2025-11-13,126124,126554,126339.0,IBJA
2025-11-14,125428,124794,125111.0,IBJA
2025-11-17,122714,122924,122819.0,IBJA
2025-11-18,121366,122180,121773.0,IBJA
2025-11-19,123448,123884,123666.0,IBJA
2025-11-20,122881,122561,122721.0,IBJA
2025-11-21,122149,123146,122647.5,IBJA
2025-11-24,123057,123308,123182.5,IBJA
2025-11-25,125342,125119,125230.5,IBJA
2025-11-26,126004,126081,126042.5,IBJA
2025-11-27,125857,126057,125957.0,IBJA
2025-11-28,126666,126591,126628.5,IBJA
2025-12-01,128602,128800,128701.0,IBJA
2025-12-02,128141,127593,127867.0,IBJA
2025-12-03,128550,128214,128382.0,IBJA
2025-12-04,127755,127845,127800.0,IBJA
2025-12-05,128578,128592,128585.0,IBJA
2025-12-08,128691,128257,128474.0,IBJA
2025-12-09,127409,127974,127691.5,IBJA
2025-12-10,128090,127788,127939.0,IBJA
2025-12-11,128535,128596,128565.5,IBJA
2025-12-12,130569,132710,131639.5,IBJA
2025-12-15,133442,133249,133345.5,IBJA
2025-12-16,132136,131777,131956.5,IBJA
2025-12-17,132713,132317,132515.0,IBJA
2025-12-18,132454,132474,132464.0,IBJA
2025-12-19,132394,131779,132086.5,IBJA
2025-12-22,133584,133970,133777.0,IBJA
2025-12-23,136133,136283,136208.0,IBJA
2025-12-24,136635,136627,136631.0,IBJA
2025-12-26,137914,137956,137935.0,IBJA
2025-12-29,138161,136781,137471.0,IBJA
2025-12-30,134362,134599,134480.5,IBJA
2025-12-31,133099,133195,133147.0,IBJA
2026-01-01,133151,133461,133306.0,IBJA
2026-01-02,134415,134782,134598.5,IBJA
2026-01-05,135721,136168,135944.5,IBJA
2026-01-06,136909,136660,136784.5,IBJA
2026-01-07,136615,136675,136645.0,IBJA
2026-01-08,135443,135773,135608.0,IBJA
2026-01-09,137195,137122,137158.5,IBJA
2026-01-12,140005,140449,140227.0,IBJA
2026-01-13,140482,140284,140383.0,IBJA
2026-01-14,142152,142015,142083.5,IBJA
2026-01-16,141717,141593,141655.0,IBJA
2026-05-08,151140,151078,151109.0,IBJA
2026-05-11,150277,150362,150319.5,IBJA
2026-05-12,151954,151632,151793.0,IBJA
2026-05-13,160411,160977,160694.0,IBJA
2026-05-14,161349,161159,161254.0,IBJA
2026-05-15,158159,158210,158184.5,IBJA
2026-05-18,157821,157739,157780.0,IBJA
2026-05-19,158907,159077,158992.0,IBJA
2026-05-20,157961,158555,158258.0,IBJA
2026-05-21,158947,158538,158742.5,IBJA
2026-05-22,158354,158117,158235.5,IBJA
2026-05-25,158622,158857,158739.5,IBJA
2026-05-26,157722,157611,157666.5,IBJA
2026-05-27,157040,156072,156556.0,IBJA
2026-05-29,157043,156463,156753.0,IBJA
2026-06-01,155599,155536,155567.5,IBJA
2026-06-02,156296,156294,156295.0,IBJA
2026-06-03,155264,155036,155150.0,IBJA
2026-06-04,155581,156086,155833.5,IBJA
2026-06-05,154190,154238,154214.0,IBJA
2026-06-08,150768,151489,151128.5,IBJA
2026-06-09,152584,151973,152278.5,IBJA
2026-06-19,144941,144970,144955.5,IBJA
2026-06-22,146664,147310,146987.0,IBJA
2026-06-23,144788,144995,144891.5,IBJA
2026-06-24,143890,142178,143034.0,IBJA
2026-06-25,140022,139873,139947.5,IBJA
2026-06-29,141911,141421,141666.0,IBJA
2026-06-30,140382,141286,140834.0,IBJA
2026-07-01,139434,141632,140533.0,IBJA
2026-07-02,143340,143003,143171.5,IBJA
2026-07-03,146107,146344,146225.5,IBJA
2026-07-06,145512,145583,145547.5,IBJA
2026-07-07,144141,144083,144112.0,IBJA
2026-07-08,144260,142350,143305.0,IBJA
2026-07-09,143372,143656,143514.0,IBJA
2026-07-10,143815,143368,143591.5,IBJA
2026-07-13,142289,142188,142238.5,IBJA
2026-07-14,141712,141882,141797.0,IBJA
2026-07-15,141770,141908,141839.0,IBJA
