,gold_999_am,gold_999_pm,gold_999_average,gold_usd_open,gold_usd_high,gold_usd_low,gold_usd_close,gold_usd_volume,usdinr_open,usdinr_high,usdinr_low,usdinr_close,target_gold_999
gold_999_am,1.0,0.9992921306683553,0.9998234841523627,0.8199386706164298,0.8198358167927332,0.8099624938524395,0.8098635740103823,0.013541895432646014,0.8881921972462662,0.8942840867614135,0.8511313921495051,0.8881634022075763,0.9998234841523627
gold_999_pm,0.9992921306683553,1.0,0.9998225492415572,0.8188553251706729,0.820198880084691,0.8100206150417975,0.8110764388878021,0.010132123332662474,0.8886788133842148,0.89486974081956,0.8518855370858186,0.8886667524005526,0.9998225492415572
gold_999_average,0.9998234841523627,0.9998225492415572,1.0,0.8195453758965335,0.8201648203331372,0.8101374347729314,0.8106151603534153,0.011841541360381156,0.8885922764155422,0.8947347057422196,0.8516585306457578,0.8885718338001314,1.0
gold_usd_open,0.8199386706164298,0.8188553251706729,0.8195453758965335,1.0,0.99433384651486,0.9929591278062909,0.986869148736291,-0.011549235861473856,0.4886425429173712,0.5015647281648199,0.481610100325855,0.4886639438304258,0.8195453758965334
gold_usd_high,0.8198358167927332,0.820198880084691,0.8201648203331372,0.99433384651486,1.0,0.9918919506157238,0.9945239571107742,-0.021330001038368095,0.48863716388848294,0.5004855297809172,0.48085550995067,0.4886703592251262,0.8201648203331372
gold_usd_low,0.8099624938524395,0.8100206150417975,0.8101374347729314,0.9929591278062909,0.9918919506157238,1.0,0.9953737443695797,0.0006569843087555386,0.4788646797463042,0.4919890857333573,0.47139098106320126,0.4788481260630779,0.8101374347729317
gold_usd_close,0.8098635740103823,0.8110764388878021,0.8106151603534153,0.986869148736291,0.9945239571107742,0.9953737443695797,1.0,-0.009013151420304757,0.4800818759517447,0.4924602865556242,0.4719064618962541,0.48008262993715106,0.8106151603534154
gold_usd_volume,0.013541895432646014,0.010132123332662474,0.011841541360381156,-0.011549235861473856,-0.021330001038368095,0.0006569843087555386,-0.009013151420304757,1.0,0.02344310780715397,0.018836427462497186,0.0255301741187193,0.02183966708332543,0.01184154136038113
usdinr_open,0.8881921972462662,0.8886788133842148,0.8885922764155422,0.4886425429173712,0.48863716388848294,0.4788646797463042,0.4800818759517447,0.02344310780715397,1.0,0.9975307381863171,0.9688350620485919,0.9999930650481487,0.8885922764155422
usdinr_high,0.8942840867614135,0.89486974081956,0.8947347057422196,0.5015647281648199,0.5004855297809172,0.4919890857333573,0.4924602865556242,0.018836427462497186,0.9975307381863171,1.0,0.969161996066148,0.9975381082170207,0.8947347057422192
usdinr_low,0.8511313921495051,0.8518855370858186,0.8516585306457578,0.481610100325855,0.48085550995067,0.47139098106320126,0.4719064618962541,0.0255301741187193,0.9688350620485919,0.969161996066148,1.0,0.9688302520164421,0.8516585306457577
usdinr_close,0.8881634022075763,0.8886667524005526,0.8885718338001314,0.4886639438304258,0.4886703592251262,0.4788481260630779,0.48008262993715106,0.02183966708332543,0.9999930650481487,0.9975381082170207,0.9688302520164421,1.0,0.8885718338001315
target_gold_999,0.9998234841523627,0.9998225492415572,1.0,0.8195453758965334,0.8201648203331372,0.8101374347729317,0.8106151603534154,0.01184154136038113,0.8885922764155422,0.8947347057422192,0.8516585306457577,0.8885718338001315,1.0
