,count,mean,std,min,25%,50%,75%,max
gold_999_avg,168.0,135434.68154761905,15566.252999786751,104543.0,122794.5,136419.5,146415.875,162378.5
target_gold_999,168.0,135434.68154761905,15566.252999786751,104543.0,122794.5,136419.5,146415.875,162378.5
gold_usd_open,163.0,4178.352160120303,289.6445479237267,3485.699951171875,4012.1500244140625,4139.2001953125,4405.0,4762.2001953125
gold_usd_high,163.0,4209.717783922067,286.82438195754867,3559.199951171875,4047.699951171875,4199.7001953125,4444.25,4765.2001953125
gold_usd_low,163.0,4152.019646580234,284.7208868219638,3485.699951171875,3984.7999267578125,4129.5,4368.10009765625,4718.7001953125
gold_usd_close,163.0,4182.873614539398,282.4693948153302,3549.39990234375,4017.5,4165.2001953125,4413.349853515625,4720.39990234375
usdinr_open,167.0,91.90956974600603,3.341321763660018,87.74030303955078,88.72064971923828,90.23290252685548,95.42390060424805,96.87689971923828
usdinr_high,167.0,92.13333216684308,3.377379022674407,87.8582992553711,88.80154800415039,90.4468002319336,95.68720245361328,97.0541000366211
usdinr_low,167.0,91.57051109268279,3.2448310645278036,85.86289978027344,88.58880233764648,89.84819793701172,95.06420135498047,96.45980072021484
usdinr_close,167.0,91.90888355734819,3.340015242072729,87.74030303955078,88.72064971923828,90.23300170898438,95.42390060424805,96.87689971923828
