date,value,data_type
2026-08-03,142710.0,actual
2026-08-04,142902.0,actual
2026-08-05,145601.5,actual
2026-08-06,148400.5,actual
2026-08-07,149320.5,actual
2026-08-10,150851.0,actual
2026-08-11,152646.5,actual
2026-08-12,153190.0,actual
2026-08-13,152759.0,actual
2026-08-14,151928.0,actual
2026-08-17,154116.5,actual
2026-08-18,154121.0,actual
2026-08-19,153376.0,actual
2026-08-20,157233.5,actual
2026-08-21,160059.5,actual
2026-08-24,162378.5,actual
2026-08-25,162192.5,actual
2026-08-26,161384.0,actual
2026-08-27,158431.5,actual
2026-08-28,158902.0,actual
2026-08-31,154814.5,actual
2026-09-01,153990.5,actual
2026-09-02,141292.29224743822,forecast
2026-09-03,140068.12262066262,forecast
2026-09-04,138995.1783698973,forecast
2026-09-07,139461.73040276254,forecast
2026-09-08,140370.59849035594,forecast
2026-09-09,141015.6311557644,forecast
2026-09-10,140698.88932455174,forecast
2026-09-11,140110.16054675542,forecast
2026-09-14,140618.89716792107,forecast
2026-09-15,140059.75958643702,forecast
2026-09-16,139740.55103660643,forecast
2026-09-17,139574.9570460067,forecast
2026-09-18,139756.73231496575,forecast
2026-09-21,139384.3955514629,forecast
2026-09-22,140240.5507690161,forecast
2026-09-23,140448.33383835852,forecast
2026-09-24,142090.90790013527,forecast
2026-09-25,142244.67760167905,forecast
2026-09-28,142717.49037726648,forecast
2026-09-29,142774.37790567323,forecast
2026-09-30,142378.66661859618,forecast
2026-10-01,144449.78798011027,forecast
2026-10-02,143402.91263418476,forecast
2026-10-05,143710.0804458054,forecast
2026-10-06,143653.41913427442,forecast
2026-10-07,143438.2295623811,forecast
2026-10-08,143391.7043391299,forecast
2026-10-09,143401.78798577742,forecast
2026-10-12,143757.80631222314,forecast
2026-10-13,143728.997578345,forecast
2026-10-14,143349.57822221983,forecast
2026-10-15,143367.05665120366,forecast
2026-10-16,140578.54611096176,forecast
2026-10-19,140621.31718886964,forecast
2026-10-20,140845.33477166388,forecast
2026-10-21,140754.47202409303,forecast
2026-10-22,141002.84800655872,forecast
2026-10-23,141259.49167532055,forecast
2026-10-26,141643.5865259127,forecast
2026-10-27,141520.73318085272,forecast
2026-10-28,141607.57727917342,forecast
2026-10-29,141574.83585642598,forecast
2026-10-30,141519.6334632432,forecast
2026-11-02,141857.29161976994,forecast
2026-11-03,141954.04773306614,forecast
2026-11-04,142008.08843690145,forecast
2026-11-05,142185.0037532046,forecast
2026-11-06,142180.23308982444,forecast
2026-11-09,142704.58121522825,forecast
