feature_name,feature_type,requires_future_market_data,requires_future_target_data,available_for_direct_diwali_forecast
gold_usd_open,numeric,YES,NO,NO
gold_usd_high,numeric,YES,NO,NO
gold_usd_low,numeric,YES,NO,NO
gold_usd_close,numeric,YES,NO,NO
gold_usd_volume,numeric,YES,NO,NO
usdinr_open,numeric,YES,NO,NO
usdinr_high,numeric,YES,NO,NO
usdinr_low,numeric,YES,NO,NO
usdinr_close,numeric,YES,NO,NO
day_of_week,numeric,NO,NO,YES
day_of_month,numeric,NO,NO,YES
month,numeric,NO,NO,YES
quarter,numeric,NO,NO,YES
day_of_year,numeric,NO,NO,YES
week_of_year,numeric,NO,NO,YES
is_month_start,numeric,NO,NO,YES
is_month_end,numeric,NO,NO,YES
days_to_diwali,numeric,NO,NO,YES
is_near_diwali,numeric,NO,NO,YES
gold_lag_1,numeric,NO,YES,NO
gold_lag_2,numeric,NO,YES,NO
gold_lag_3,numeric,NO,YES,NO
gold_lag_5,numeric,NO,YES,NO
gold_lag_7,numeric,NO,YES,NO
gold_lag_14,numeric,NO,YES,NO
gold_ma_3,numeric,NO,YES,NO
gold_ma_7,numeric,NO,YES,NO
gold_ma_14,numeric,NO,YES,NO
gold_ma_30,numeric,NO,YES,NO
gold_return_1d,numeric,NO,YES,NO
gold_return_3d,numeric,NO,YES,NO
gold_return_7d,numeric,NO,YES,NO
gold_volatility_7,numeric,NO,YES,NO
gold_volatility_14,numeric,NO,YES,NO
gold_volatility_30,numeric,NO,YES,NO
gold_usd_return_1d,numeric,YES,NO,NO
usdinr_return_1d,numeric,YES,NO,NO
gold_usd_return_3d,numeric,YES,NO,NO
usdinr_return_3d,numeric,YES,NO,NO
gold_usd_return_7d,numeric,YES,NO,NO
usdinr_return_7d,numeric,YES,NO,NO
gold_usd_volatility_7,numeric,YES,NO,NO
usdinr_volatility_7,numeric,YES,NO,NO
gold_usd_volatility_14,numeric,YES,NO,NO
usdinr_volatility_14,numeric,YES,NO,NO
gold_inr_proxy,numeric,YES,NO,NO
