feature,importance
gold_lag_1,0.252870158558769
gold_ma_14,0.17069339319764817
gold_ma_30,0.15252331845942607
days_to_diwali,0.12885477952172397
usdinr_high,0.06894708137717394
gold_usd_high,0.05928152549794485
gold_ma_7,0.05487682666866333
gold_usd_open,0.025332600130691628
gold_usd_low,0.02528874179672842
gold_ma_3,0.02082203297014921
usdinr_open,0.008097569990918072
day_of_year,0.006790682891618866
gold_lag_7,0.0064834889707805765
gold_inr_proxy,0.004077440064924963
gold_usd_close,0.0036989852369212436
day_of_month,0.0034033527686125275
week_of_year,0.002974140566270647
gold_lag_2,0.0018517616747761978
usdinr_close,0.001104308863661947
gold_lag_14,0.0005565198358949908
gold_lag_5,0.0003863396567207413
gold_usd_volatility_7,0.0003176201011305612
gold_return_1d,0.00015268412157739685
gold_lag_3,0.0001326277013152906
gold_usd_volume,8.67220152909542e-05
gold_volatility_30,6.699001342980782e-05
gold_volatility_14,5.0734090036111886e-05
gold_usd_volatility_14,4.332157857249325e-05
usdinr_return_3d,3.7161102251683295e-05
gold_usd_return_7d,3.1631604095433333e-05
usdinr_volatility_7,3.0778043800461944e-05
gold_usd_return_1d,2.4478952960640285e-05
usdinr_volatility_14,2.358609572647678e-05
gold_return_7d,2.1427861582144096e-05
usdinr_return_7d,1.5420842494698234e-05
usdinr_return_1d,1.4240386987159051e-05
day_of_week,1.0888882860619704e-05
gold_usd_return_3d,9.999796904272177e-06
gold_return_3d,6.902720855472993e-06
gold_volatility_7,2.7426776228767235e-06
usdinr_low,2.675738424392343e-06
is_month_start,1.7819802871435691e-06
month,4.953854488184641e-07
quarter,3.960632561427113e-08
is_month_end,0.0
is_near_diwali,0.0
