feature,importance
gold_lag_1,0.16868023358662387
gold_ma_14,0.1329794326679338
days_to_diwali,0.11240366670867791
gold_ma_7,0.0874010705521954
gold_ma_30,0.07484424334894126
gold_ma_3,0.057897148134922534
gold_usd_high,0.0540215835145669
gold_lag_14,0.0490688317571932
gold_usd_open,0.04656762343944968
gold_usd_low,0.03222418330508827
usdinr_high,0.032115764223609886
gold_inr_proxy,0.03182914273875472
gold_lag_2,0.027418251521982254
gold_usd_close,0.016420895474441078
gold_lag_3,0.01195688331461365
gold_lag_5,0.011928345522676718
usdinr_close,0.011644822638529347
gold_lag_7,0.007735261141278076
day_of_year,0.006673218264181542
usdinr_open,0.005886261892714442
usdinr_low,0.0055503551500212765
week_of_year,0.00444735880034259
gold_volatility_30,0.002689667319872426
day_of_month,0.002571134931112286
month,0.0008608205531330486
gold_volatility_14,0.0005813318315371009
quarter,0.0005527888522588692
gold_usd_volatility_7,0.00047291549159293576
gold_usd_return_3d,0.00044594066690333077
usdinr_volatility_14,0.00031100058987168933
usdinr_volatility_7,0.00021537036171305308
usdinr_return_7d,0.0002125398009063222
gold_volatility_7,0.00020792139272383676
gold_return_1d,0.00020152429707138324
gold_usd_volatility_14,0.00016822977874779888
gold_usd_volume,0.00016548434391526847
usdinr_return_1d,0.00013006975142698326
usdinr_return_3d,0.0001246149458136767
gold_return_3d,0.00010807151559570865
gold_return_7d,9.724244516099627e-05
gold_usd_return_7d,7.405815638009796e-05
day_of_week,5.752123692989837e-05
gold_usd_return_1d,5.42906124032694e-05
is_month_end,2.335426412121791e-06
is_month_start,5.479997796710599e-07
is_near_diwali,0.0
