feature,importance
days_to_diwali,0.45502576
gold_lag_5,0.1601457
usdinr_high,0.10721349
gold_lag_1,0.08220992
usdinr_close,0.0352688
gold_ma_7,0.025428424
gold_usd_high,0.023859829
usdinr_open,0.021372434
gold_usd_low,0.0159292
gold_ma_3,0.014227146
gold_inr_proxy,0.0141984895
gold_usd_open,0.013081116
gold_usd_close,0.012273921
gold_ma_14,0.008487306
gold_lag_2,0.0044561685
gold_lag_14,0.0027499413
month,0.0009417007
day_of_year,0.00077403575
gold_volatility_14,0.0004187866
usdinr_low,0.0003913705
week_of_year,0.00021137611
gold_volatility_7,0.00020602802
gold_usd_return_7d,0.00016050044
gold_lag_3,0.00012471863
gold_volatility_30,0.00010719034
usdinr_volatility_7,7.9480335e-05
gold_return_3d,6.435462e-05
gold_usd_volatility_14,6.428744e-05
gold_return_7d,5.396727e-05
usdinr_return_3d,5.26671e-05
gold_return_1d,5.173512e-05
gold_usd_volume,5.1603256e-05
day_of_month,5.0603434e-05
day_of_week,3.7892467e-05
usdinr_volatility_14,3.7127706e-05
gold_usd_return_1d,3.6256075e-05
gold_lag_7,3.0591906e-05
gold_ma_30,2.8088063e-05
gold_usd_volatility_7,2.6725364e-05
usdinr_return_1d,2.34917e-05
is_month_start,2.0211024e-05
gold_usd_return_3d,2.0076932e-05
usdinr_return_7d,7.2474463e-06
quarter,1.871168e-07
is_month_end,0.0
is_near_diwali,0.0
