feature,coefficient,transformed_value,contribution
usdinr_high,1222.2741772522068,89.51250076293945,109408.81822380934
gold_usd_high,22.494176588930873,4215.7998046875,94830.94527022091
usdinr_low,-1063.0290214829174,88.99114990234375,-94600.1750013281
usdinr_close,970.8045968189517,95.30717948884038,92524.64795761515
usdinr_open,882.9288780715091,89.15789794921875,78720.08280751781
gold_usd_close,-13.791387786958966,4346.018898442757,-59937.63195787629
gold_usd_low,7.910267701395624,4163.7001953125,32935.98317327512
gold_inr_proxy,0.06619205453754873,414206.80321577616,27417.19930828237
gold_lag_3,0.1291374776585046,158902.0,20520.2034748917
gold_ma_3,-0.12545970915636476,157382.66666666666,-19745.1835862531
gold_ma_7,-0.11079370498516546,159737.5,-17697.909450067866
gold_lag_7,0.09617242549550632,162378.5,15616.334193322073
gold_lag_14,-0.06771064724204372,152759.0,-10343.410762047357
gold_lag_5,-0.06406116241564938,161384.0,-10338.44663528716
gold_lag_1,0.05613508919519972,153990.5,8644.270452713403
gold_usd_open,1.4454827407508044,4197.7001953125,6067.7031831705
gold_volatility_30,2553.84308692185,1.17150073735544,2991.8290594190403
days_to_diwali,-28.340865652319348,67.0,-1898.8379987053963
gold_lag_2,0.011859005430830932,154814.5,1835.9459962713754
week_of_year,-48.254168944412235,36.0,-1737.1500819988405
gold_ma_14,0.010428887318577551,156777.60714285713,1635.015998969076
quarter,523.4043809434601,3.0,1570.21314283038
gold_usd_volatility_14,956.9780636912169,1.519097401776389,1453.7428901103274
usdinr_volatility_14,1545.5516755175893,0.8614924581847915,1331.4811121932712
day_of_year,-4.777801800639722,245.0,-1170.561441156732
gold_volatility_14,-847.6467665650778,1.3759256972541571,-1166.2989683112864
usdinr_volatility_7,662.3454749550588,1.247685951212701,826.3991439507307
gold_ma_30,0.005001288019915256,150651.93333333332,753.4537093570717
gold_volatility_7,365.3160478488587,1.598637155184204,584.007807476236
month,-31.785014897717122,9.0,-286.0651340794541
gold_usd_volatility_7,221.53922856536414,1.121967095273183,248.5597247625434
usdinr_return_3d,-1425.1505539951213,-0.17096237565198402,243.64712437274707
gold_return_1d,74.70195829307619,-2.572340184516242,-192.15884917933622
gold_usd_return_7d,28.011028686595136,-6.35194187749698,-177.92442614615288
usdinr_return_7d,-404.53584674730774,-0.4107851558019071,166.17732083354923
gold_return_7d,99.94258790702428,-1.538476215310347,-153.75929439152037
usdinr_return_1d,603.3465098452099,0.20267878704807174,122.28553878511461
day_of_week,-53.98363843827708,2.0,-107.96727687655417
gold_usd_return_3d,30.699944791269587,-2.9494918901572076,-90.54923819012366
gold_return_3d,-19.46587372180981,-4.070725722500368,79.24023287031517
gold_usd_volume,0.010653878759869038,618.0,6.584097073599065
day_of_month,-3.029143252187694,2.0,-6.058286504375388
gold_usd_return_1d,-76.08646936366706,-0.04556351327605901,3.4667668569799015
is_month_end,-319.9097032036018,0.0,-0.0
is_near_diwali,-5.087485988042317e-12,0.0,-0.0
is_month_start,1125.6865220101936,0.0,0.0
