feature_name,feature_value
gold_usd_open,
gold_usd_high,
gold_usd_low,
gold_usd_close,4346.018898442757
gold_usd_volume,
usdinr_open,
usdinr_high,
usdinr_low,
usdinr_close,95.30717948884038
day_of_week,2.0
day_of_month,2.0
month,9.0
quarter,3.0
day_of_year,245.0
week_of_year,36.0
is_month_start,0.0
is_month_end,0.0
days_to_diwali,67.0
is_near_diwali,0.0
gold_lag_1,153990.5
gold_lag_2,154814.5
gold_lag_3,158902.0
gold_lag_5,161384.0
gold_lag_7,162378.5
gold_lag_14,152759.0
gold_ma_3,157382.66666666666
gold_ma_7,159737.5
gold_ma_14,156777.60714285713
gold_ma_30,150651.93333333332
gold_return_1d,-2.572340184516242
gold_return_3d,-4.070725722500368
gold_return_7d,-1.538476215310347
gold_volatility_7,1.598637155184204
gold_volatility_14,1.3759256972541571
gold_volatility_30,1.17150073735544
gold_usd_return_1d,-0.04556351327605901
usdinr_return_1d,0.20267878704807174
gold_usd_return_3d,-2.9494918901572076
usdinr_return_3d,-0.17096237565198402
gold_usd_return_7d,-6.35194187749698
usdinr_return_7d,-0.4107851558019071
gold_usd_volatility_7,1.121967095273183
usdinr_volatility_7,1.247685951212701
gold_usd_volatility_14,1.519097401776389
usdinr_volatility_14,0.8614924581847915
gold_inr_proxy,414206.80321577616
